,hashtag_name,owner_id,short_code,likes_count,comments_count,post_description
30,гдебыпоесть,285424250,Bwz-mq9B4Ux,148,7,"⠀ 🍎⠀
⠀ Эта прищуренная отретушированная морда, которая торчит из-за модного коктейля, хочет предостеречь вас от ошибок!⠀
⠀ Не ведитесь, как я, на фоточки в Инстаграме, когда выбираете #гдебыпоесть 🤦🏼‍♀️⠀
⠀ Уже трижды я наступила на эти грабли..⠀
⠀ В моем списке инста_едален, которые скорее пригодны для фото, а не для гастрономического оргазма:⠀
⠀ • Montifiori на Патриках (хотя 🌽 была зачёт)⠀
⠀ • Sapiens Est на Пушечной⠀
⠀ • J’Pan на Трубной
⠀ • Extra Virgin на Покровке⠀
⠀ И уже стало казаться, что мне не угодишь..⠀
⠀ Поэтому я бросила всё и уехала в Северную столицу, чтобы встретить Его... ⠀
⠀
⠀
⠀
⠀
#еда #вкусно #сладкаявата #апероль #вечер #мирдолжензнатьчтояем #food #moscow #msc #несфоткалнепоел #foodporn #foodphoto #vsco #vscofood #loveeat #люблюпоесть #коктейль #майские #модноеместо #инстаграмдляеды"
32,гдебыпоесть,3462904963,BwNyAg_l3_r,18,0,"Где-то на Невском...когда Ночные Жруны не спят...
#гдебыпоесть#жрун#наневском#питер#ночь#улицафонарь#абажур"
33,гдебыпоесть,1024455901,BwNB1ZUpwcy,37,4,"Сегодня ездили в соседний город, в кафе по типу сельского туризма. Домашняя (вроде как) кухня, ламы, козочки, кролики, деревянные избушки, лужайка побегать и побеситься... В общем, сделала вывод, что к домашней еде собственного приготовления очень быстро привыкаешь и в других заведениях, где некогда тебе было вкусно, теперь стало не очень 🤷🏻‍♀️
Это явный минус #готовимдома. Но... я была бы не я, если бы не нашла в этом плюс. Во-первых, это экономия семейного бюджета, а, во-вторых, мотивация для поиска новых мест, где можно было бы вкусно поесть) Вдруг такие еще остались в недалеком радиусе) 
#едимдома#гдебыпоесть#понудим#гурман#гурманвкуса#домашняяеда#погуляли#рыжаяя#желтоепальто#простотак#пишудлясебя#мамскийблог#обовсеминеочем#мамскиебудни#пописываю#солнечныеочки#очки#очкидиор#мамаблогер#хорошийдень#инстамама#instagood#instamom#goodvibes#nofilter#безфильтров"
34,гдебыпоесть,433988228,BwAIJ_yAJpC,78,2,"Италия - Рим, невозможно все увидеть и понять  за раз, в такую столицу надо возвращаться  и  возвращаться✈️🏍🛵 , - на мотобайке основное можно увидеть за 1-2 дня, ну а если заходить в галереи ... музеи , ехать надо минимум на неделю. Еще ведь и поесть вкусно и неспешно нужно😂☝🏻, поэтому ехать лучше сразу в рестораны и кафе по наводке. ( совету бывалых, трипэдввйзеру, или  смотреть где переполнено, значит точно супер вкусно 😜🤤, хотя бывают и исключения ...).
Многообразие мест где поесть иногда в ступор вводит, и особенно когда голодный и готов куда угодно , уже упасть!🥐🧀🍕🥗🍲🍝 Наше путешествие оказалось экстремально спонтанным , ( отсутсвие плана - это тоже план, и точно про нас) но после бельгийского пива 🍻и мидий в Праге , был намечен все же  маршрут : Прага - Рим - Тоскана -Венеция - Прага. С участием самолета, машины , байка и речного трамвая ! #Рим #гдебыпоесть #гдебыприсесть #вседорогиведутврим"
35,гдебыпоесть,7115929287,BvcTDllHM8s,40,0,"Плохо знаю город. За 13 лет он очень сильно изменился, да и за ненадобностью забыла его начисто. Чтобы не доставать всех в маршрутке: ""Вы не подскажите, где мне выйти на галерее Чижова? "" прибегла к функции ""Ok Google, где я?"". Помогло!!! Мне во всеуслышание было объявлено моим телефоном, что я прибыла на место назначения. В ТРЦ у меня было аналогичное желание обратиться к ""ОК GOOGLE где я?"" По моему, мы больше времени провели в поисках туалета, океанариума, лифта, #гдебыпоесть. Пришлось прибегнуть к карте. Нагуляли зверский аппетит, намотав километров 5 по этим коридорам #ситиград #воронеж #врн #каникулы #океанариум #хорошеечно #хорошаякомпания #счастьеесть #ятамгдемоидети #путешествияпороссии #photogallery #travelphotography #myrussia #myphoto #happiness #photo_happiness_time #photo_storee #beautiful #voronezh#okgoogle"
36,гдебыпоесть,269433005,Bu4HNq5lZRj,46,5,"Небось уже обедаете и ужинаете на #tallinnrestaurantweek ? 🥗🍲🍷
⠀
Не то, чтобы я не ходила по ресторанам в обычные дни🤣, но какие-то места из списка на ресторанной неделе почему-то посещаю каждый год (вернее каждый раз, когда проходит эта неделя). Это уже какая-то определенная традиция, что ли...🤗 На этот раз я кстати чуть не пропустила сиё мероприятие 😱😅
⠀
На самом деле, список участников немного расстроил 😐 Хочется видеть и тестить новые места (да да я понимаю, что могу сходить в них в любой другой день, но сейчас не про это) а в списке неизменный Dominic, RAE и Cru...Возможно у меня такое впечатление, потому что практически все перечисленные места уже посещались и не один раз. Некоторые даже получили лейблик favourites 🤗 К примеру очень нравятся Ribe и Mon Repos. Но опять же, пора апгрейдить список 🤗
⠀
То, что появилось новое, это EYJA, Radio, Scheeli, Snoob. Наверное, стоит сходить именно туда и не ныть, что надоело есть фуагру на обед и ужин 😅😅
⠀
А вы как относитесь к неделе ресторанов? Какие любимые места? Посещали новые?

#весна #spring #restaurants #рестораны #гдебыпоесть #вкуснопоесть"
37,гдебыпоесть,2133233091,BuYNIquB2V5,39,3,В такие минуты безмятежности я думаю только об одном... #гдебыпоесть #йогадляначинающих #невскийпроспект #питер #питеронлайн
40,гдебыпоесть,2359295482,BtbUvwigVco,49,2,"Если вы любите итальянскую кухню,  то однозначно рекомендую @it.red2 
Меню не большое, но все очень вкусно. 😊Добавлено в нашу копилку вкусных мест для семейных обедов. 
#итальянскаякухня #kharkiv #гдебыпоесть #italianfood"
41,гдебыпоесть,6252888399,BrtCLwQF68L,56,1,Немного вечернего Бергамо по дороге в отель и в поиске где бы поужинать #италия #бергамо #вечер #попути #старинный #достопримечательности #забугром #гдебыпоесть #командировка #прогулки #галопомпоевропам
42,гдебыпоесть,296365595,Bo4W43HBTDh,26,0,Поехали поужинать )#ночнойгород #гдебыпоесть #москва #москвасити🌆
43,гдебыпоесть,5351783971,BowXI6OAcTW,42,2,"Осень. Лёгкая грусть...
Почему всё время хочется подкрепиться? ))) Обсудила с подругами и вот
Версии: 
1. Первый раз слышу, но: ""синдром пустого желудка""). Вроде,логичн
Кинул в топку, дрова прогорели, кидай новые, а то замёрзнешь.
#жить_чтобы_есть или #есть_чтобы_жить

2. Интоксикация, да, да! :-) Начинается с лёгкого беспокойства, мысли о еде. Дальше эти мысли становятся всё навязчивее, а наши мысли - всё притуплённее. Работать и думать становится трудно. Потом подключаются слабость, дрожание рук, потемнение в глазах, ватные ноги... и тд
Что происходит внутри нас в это тяжёлое время? :-) Организм тратит много энергии на переваривание пищи. В зависимости от её качества, иногда больше тратит, чем в итоге получает. Зачастую организм не успевает перерабатывать и выводить всё го, что мы в него впихнули. И быстро распихивает это добро по тканям - в целлюлит, в сосудики, в клеточки - до лучших времён. (Мы-то думаем, что до худших) ;-) И когда мы даём желудку отдохнуть, тогда освободившийся от тяжкой рутины организм берётся разгребать завалы. Вытаскивает из тканей свои заначки и спускает их... куда? В кровоток. Кровь с токсинами попадает в мозг - начинает болеть голова. Все симптомы, как при отравлении. Что делать?

Дать организму немного почиститься, если есть возможность. Если вы, скажем, не на заседании или не в забое. Помочь ему - попить воду, травяные настои, полежать.

Если ""поболеть"" (а точнее, повыздоравливать) некогда, остаётся лишь снова начать есть.  Тогда организм с тяжёлым вздохом) оставляет хлам до лучших времён, и переключается на свою переваривательную рутину.

Неплохо всё-же периодически находить время для таких генеральных уборок, чтобы не заболеть в итоге чем похуже.

Что ж, теперь 3 версия. 
Итак, чувство голода начинается с лёгкого беспокойства, мысли о еде, причём, о вредной. Вот кто, скажите, проголодавшись, мечтает о листике сельдерея без соли и масла? О яблочке? Никто)
 Скорее, хочется сладкого чая, печеньку, куря, картоху фри...м-мм... Это действительно желание нашего организма? Но все знают, что такая еда вредна. А кто же тогда её требует?

К этой мысли я вас #не плавно подведу рассказом про муравья и краба. 
В следующем посте)"
44,гдебыпоесть,4838829343,BoG9xNsHGDw,102,2,"Так и не рассказала вам о месте, в котором мы встречали одну из громких побед нашей сборной на ЧМ по футболу этим летом (да, я следила за чемпионатом, причём внимательно, с самого начала и до конца - тотализатор толкает человека на удивительные поступки!). Для того, чтобы посмотреть эту игру, мы в этот раз забурились на 65 м. под землю - в удивительный ресторан ""Бункер-42"" на Таганке, рядом с одноимённым музеем.
Ресторан, как и музей, расположен в реальном бункере времен Холодной войны, само шоу-музейное пространство я неистово рекомендую всем, это действительно необычный и интересный экспириенс. Экскурсии туда недешёвые, но ощущения - потрясные. Там вам покажут фильм про Холодную войну в подземном кинотеатре, проведут бронированными коридорами и залами, при вас устроят ""запуск ракет"". Там, под землёй, среди каких-то светящиеся бочек, чувствуешь себя совсем не в Москве и не в 21 веке. И это не какая-то одна жалкая квест-комната,там реально целый лабиринт катакомб. И даже завлекательный мерч присутствует :3 Но вернёмся к ресторану.
Ресторан оставил более двоякое впечатление. Вроде бы, все классно сделано, и обстановка довольно уютная, нестыдная, даже какая-то стилизация присутствует - свои коктейли с именами под советско-военную тематику и т.п. Сидеть там - одно удовольствие! Но вот слишком большую ставку хозяева сделали на свою стилизацию, одновременно и не оправдав её, и не докрутив. (продолжение-в комментариях)"
